iter	MultiClass
0	1.001476227
1	4.484297705
2	448.0797461
3	1828.403364
4	2163.459021
5	543.8278404
6	499.4815133
7	463.3452341
8	400.1935794
9	301.2618592
10	328.7573425
11	326.7148245
12	284.793972
13	246.2083953
14	218.5380871
15	302.4180072
16	283.4308847
17	257.6146268
18	227.9043492
19	202.3874307
20	179.9474287
21	166.1768008
22	181.7092653
23	175.9586111
24	181.8385216
25	197.7681567
26	179.3972472
27	181.3368717
28	156.8037334
29	167.9806554
30	190.2180226
31	170.0498274
32	157.5070215
33	131.8342794
34	140.5608261
35	192.4880355
36	171.0917027
37	154.3120471
38	128.7470442
39	137.130371
40	177.3932408
41	149.9230529
42	132.0465373
43	125.7449745
44	123.7508094
45	132.0295684
46	109.3483204
47	148.9888131
48	166.3803982
49	137.9084915
50	130.6854619
51	122.1500752
52	143.8020903
53	154.0074006
54	136.9570899
55	119.1706178
56	128.7746874
57	151.7225275
58	122.1054599
59	108.1747022
60	181.7407008
61	156.3364489
62	133.8281872
63	103.4778304
64	89.89280068
65	152.5775698
66	139.0814236
67	129.628034
68	127.6386635
69	98.6849365
70	98.76071542
71	115.6433045
72	118.3375625
73	128.3580173
74	100.7277246
75	127.8588919
76	135.1362509
77	134.2434358
78	121.1008131
79	114.3376825
80	110.620146
81	100.8578425
82	111.1851405
83	103.5908212
84	103.9389498
85	106.7248996
86	118.8261016
87	109.4252575
88	94.00101083
89	89.65065157
90	123.6613819
91	112.2204298
92	97.88413735
93	108.9219836
94	107.5061509
95	98.2353095
96	96.00872204
97	91.73607955
98	106.1429995
99	105.8996912
